// --------------------------------------------------------------------------
// Licensed Materials - Property of IBM
//
// 5725-A06 5725-A29 5724-Y48 5724-Y49 5724-Y54 5724-Y55
// Copyright IBM Corporation 1998, 2013. All Rights Reserved.
//
// Note to U.S. Government Users Restricted Rights:
// Use, duplication or disclosure restricted by GSA ADP Schedule
// Contract with IBM Corp.
// --------------------------------------------------------------------------
startlocation = "SIN";
lengthOfLocations = 21;
firstdate = 1;
enddate = 10;
budget = 20000;
Locations = {SIN,PEK,PVG,HKG,KIX,HND,ICN,KHH,TPE,PNH,REP,DPS,CGK,KUL,PEN,RGN,MNL,BKK,HKT,HAN,SGN};
Locations_2_N_1 = {PEK,PVG,HKG,KIX,HND,ICN,KHH,TPE,PNH,REP,DPS,CGK,KUL,PEN,RGN,MNL,BKK,HKT,HAN};
Dates = {1,2,3,4,5,6,7,8,9,10};
Dates_mod = {1,2,3,4,5,6,7,8,9};
Dates_mod2 = {2,3,4,5,6,7,8,9};
CostOfLivingOfLocation = [93,48,48,75,80,80,82,57,57,57,57,39,39,45,45,53,40,46,46,41,41];

InitialSatisfactionOfLocation = [0,20,200,400,30,40,50,60,20,200,400,30,40,50,60,200,400,30,40,50,60];
UnitDecreaseInSatisfactionPerDay = 10;
PriceFromToOnDay = [
       [
              [999999 999999 999999 999999 999999 999999 999999 999999 999999 999999]
              [110 110 110 110 110 110 110 110 110 110]
              [270 270 270 270 270 270 270 270 270 270]
              [170 170 170 170 170 170 170 170 170 170]
              [999999 999999 999999 999999 999999 999999 999999 999999 999999 999999]
              [999999 999999 999999 999999 999999 999999 999999 999999 999999 999999]
              [482 482 482 482 482 482 482 482 482 482]
              [360 360 360 360 360 360 360 360 360 360]
              [235 235 235 235 235 235 235 235 235 235]
              [150 150 150 150 150 150 150 150 150 150]
              [153 153 153 153 153 153 153 153 153 153]
              [106 106 106 106 106 106 106 106 106 106]
              [69 69 69 69 69 69 69 69 69 69]
              [16 16 16 16 16 16 16 16 16 16]
              [62 62 62 62 62 62 62 62 62 62]
              [103 103 103 103 103 103 103 103 103 103]
              [136 136 136 136 136 136 136 136 136 136]
              [87 87 87 87 87 87 87 87 87 87]
              [76 76 76 76 76 76 76 76 76 76]
              [90 90 90 90 90 90 90 90 90 90]
              [80 80 80 80 80 80 80 80 80 80]
       ]
       [
              [110 110 110 110 110 110 110 110 110 110]
              [99999 99999 99999 99999 99999 99999 99999 99999 99999 99999]
              [248 248 248 248 248 248 248 248 248 248]
              [266 266 266 266 266 266 266 266 266 266]
              [429 429 429 429 429 429 429 429 429 429]
              [519 519 519 519 519 519 519 519 519 519]
              [203 203 203 203 203 203 203 203 203 203]
              [99999 99999 99999 99999 99999 99999 99999 99999 99999 99999]
              [371 371 371 371 371 371 371 371 371 371]
              [99999 99999 99999 99999 99999 99999 99999 99999 99999 99999]
              [99999 99999 99999 99999 99999 99999 99999 99999 99999 99999]
              [99999 99999 99999 99999 99999 99999 99999 99999 99999 99999]
              [901 901 901 901 901 901 901 901 901 901]
              [361 361 361 361 361 361 361 361 361 361]
              [99999 99999 99999 99999 99999 99999 99999 99999 99999 99999]
              [99999 99999 99999 99999 99999 99999 99999 99999 99999 99999]
              [315 315 315 315 315 315 315 315 315 315]
              [361 361 361 361 361 361 361 361 361 361]
              [361 361 361 361 361 361 361 361 361 361]
              [296 296 296 296 296 296 296 296 296 296]
              [337 337 337 337 337 337 337 337 337 337]
       ]
       [
              [270 270 270 270 270 270 270 270 270 270]
              [248 248 248 248 248 248 248 248 248 248]
              [99999 99999 99999 99999 99999 99999 99999 99999 99999 99999]
              [198 198 198 198 198 198 198 198 198 198]
              [235 235 235 235 235 235 235 235 235 235]
              [99999 99999 99999 99999 99999 99999 99999 99999 99999 99999]
              [132 132 132 132 132 132 132 132 132 132]
              [410 410 410 410 410 410 410 410 410 410]
              [174 174 174 174 174 174 174 174 174 174]
              [310 310 310 310 310 310 310 310 310 310]
              [310 310 310 310 310 310 310 310 310 310]
              [445 445 445 445 445 445 445 445 445 445]
              [808 808 808 808 808 808 808 808 808 808]
              [361 361 361 361 361 361 361 361 361 361]
              [99999 99999 99999 99999 99999 99999 99999 99999 99999 99999]
              [99999 99999 99999 99999 99999 99999 99999 99999 99999 99999]
              [445 445 445 445 445 445 445 445 445 445]
              [274 274 274 274 274 274 274 274 274 274]
              [274 274 274 274 274 274 274 274 274 274]
              [296 296 296 296 296 296 296 296 296 296]
              [296 296 296 296 296 296 296 296 296 296]
       ]
       [
              [170 170 170 170 170 170 170 170 170 170]
              [266 266 266 266 266 266 266 266 266 266]
              [198 198 198 198 198 198 198 198 198 198]
              [99999 99999 99999 99999 99999 99999 99999 99999 99999 99999]
              [181 181 181 181 181 181 181 181 181 181]
              [181 181 181 181 181 181 181 181 181 181]
              [188 188 188 188 188 188 188 188 188 188]
              [215 215 215 215 215 215 215 215 215 215]
              [148 148 148 148 148 148 148 148 148 148]
              [1405 1405 1405 1405 1405 1405 1405 1405 1405 1405]
              [1405 1405 1405 1405 1405 1405 1405 1405 1405 1405]
              [485 485 485 485 485 485 485 485 485 485]
              [465 465 465 465 465 465 465 465 465 465]
              [234 234 234 234 234 234 234 234 234 234]
              [99999 99999 99999 99999 99999 99999 99999 99999 99999 99999]
              [99999 99999 99999 99999 99999 99999 99999 99999 99999 99999]
